Source Port,Target Port,Traveltime
Jiangyin,Honghu,113.4199134199134
Honghu,Jiangyin,50.481695568400774
Jiangyin,Chenglingji,119.48051948051946
Chenglingji,Jiangyin,53.17919075144509
Jiangyin,Changsha,130.60768711057727
Changsha,Jiangyin,78.17919075144509
Jiangyin,Jingzhou,138.55566398918998
Jingzhou,Jiangyin,96.03633360858795
Jiangyin,Yichang,146.59997998148285
Yichang,Jiangyin,114.10992668218101
Jiangyin,Chongqing,178.3918874959337
Chongqing,Jiangyin,185.53849811075247
Gaogang,Zhenjiang,5.9523809523809526
Zhenjiang,Gaogang,2.6493256262042393
Gaogang,Nanjing,14.61038961038961
Nanjing,Gaogang,6.502890173410405
Gaogang,Ma'anshan,19.58874458874459
Ma'anshan,Gaogang,8.71868978805395
Gaogang,Wuhu,24.242424242424242
Wuhu,Gaogang,10.789980732177264
Gaogang,Hefei,38.74458874458875
Hefei,Gaogang,17.244701348747594
Gaogang,Tongling,34.41558441558442
Tongling,Gaogang,15.317919075144511
Gaogang,Chizhou,38.74458874458875
Chizhou,Gaogang,17.244701348747594
Gaogang,Anqing,45.02164502164502
Anqing,Gaogang,20.038535645472063
Gaogang,Jiujiang,61.58008658008658
Jiujiang,Gaogang,27.40847784200385
Gaogang,Nanchang,79.32900432900433
Nanchang,Gaogang,35.308285163776496
Gaogang,Huangshi,74.13419913419914
Huangshi,Gaogang,32.9961464354528
Gaogang,Huanggang,77.5974025974026
Huanggang,Gaogang,34.53757225433527
Gaogang,Wuhan,88.0952380952381
Wuhan,Gaogang,39.21001926782274
Gaogang,Jiayu,101.83982683982684
Jiayu,Gaogang,45.32755298651252
Gaogang,Honghu,106.70995670995671
Honghu,Gaogang,47.49518304431599
Gaogang,Chenglingji,112.77056277056278
Chenglingji,Gaogang,50.19267822736031
Gaogang,Changsha,123.89773040062059
Changsha,Gaogang,75.19267822736032
Gaogang,Jingzhou,131.8457072792333
Jingzhou,Gaogang,93.04982108450318
Gaogang,Yichang,139.89002327152616
Yichang,Gaogang,111.12341415809624
Gaogang,Chongqing,171.68193078597704
